epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,151.477,0.01467,0.99942,1,0.00574,0.000555092,0.000555092,0.000555092
2,292.108,0.02014,0.99942,1,0.00528,0.00100079,0.00100079,0.00100079
3,439.17,0.02798,0.99769,1,0.00807,0.00133647,0.00133647,0.00133647
4,594.134,0.01822,0.99942,1,0.00575,0.0011719,0.0011719,0.0011719
5,744.004,0.01129,1,1,0.00112,0.00100687,0.00100687,0.00100687
6,902.956,0.00736,0.99885,1,0.00589,0.000841835,0.000841835,0.000841835
7,1058.64,0.00786,1,1,0.00046,0.000676802,0.000676802,0.000676802
8,1196.72,0.00396,1,1,0.0003,0.000511769,0.000511769,0.000511769
9,1341.38,0.00391,1,1,0.00027,0.000346736,0.000346736,0.000346736
10,1481.38,0.00303,1,1,0.00018,0.000181703,0.000181703,0.000181703
