epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.43866,0.33525,0.99291,1,0.03419,0.000542114,0.000542114,0.000542114
2,21.5097,0.11883,1,1,0.015,0.00106155,0.00106155,0.00106155
3,29.4604,0.0834,1,1,0.02411,0.00154432,0.00154432,0.00154432
4,37.4583,0.10108,0.99291,1,0.02712,0.00150197,0.00150197,0.00150197
5,46.2121,0.09402,0.95745,1,0.09622,0.00144696,0.00144696,0.00144696
6,54.1749,0.1039,1,1,0.0144,0.00139195,0.00139195,0.00139195
7,62.3323,0.08229,0.98582,1,0.06041,0.00133693,0.00133693,0.00133693
8,71.2921,0.08603,0.99291,1,0.03149,0.00128192,0.00128192,0.00128192
9,79.2889,0.06669,0.97872,1,0.04098,0.00122691,0.00122691,0.00122691
10,87.2029,0.04452,0.97872,1,0.03607,0.0011719,0.0011719,0.0011719
11,94.7956,0.0526,0.97163,1,0.05306,0.00111689,0.00111689,0.00111689
12,102.669,0.0527,1,1,0.01432,0.00106188,0.00106188,0.00106188
13,110.597,0.06082,0.97872,1,0.07821,0.00100687,0.00100687,0.00100687
14,118.296,0.05355,0.98582,1,0.05368,0.000951857,0.000951857,0.000951857
15,126.165,0.03816,0.97872,1,0.04547,0.000896846,0.000896846,0.000896846
16,133.976,0.0533,0.95745,1,0.14516,0.000841835,0.000841835,0.000841835
17,141.465,0.04085,0.98582,1,0.03648,0.000786824,0.000786824,0.000786824
18,148.732,0.04009,0.96454,1,0.08012,0.000731813,0.000731813,0.000731813
19,155.976,0.02655,0.96454,1,0.08759,0.000676802,0.000676802,0.000676802
20,163.485,0.03613,0.97163,1,0.05815,0.000621791,0.000621791,0.000621791
21,171.013,0.02901,0.96454,1,0.08835,0.00056678,0.00056678,0.00056678
22,178.325,0.0407,0.96454,1,0.11131,0.000511769,0.000511769,0.000511769
23,185.744,0.02149,0.98582,1,0.03719,0.000456758,0.000456758,0.000456758
24,192.71,0.02176,0.98582,1,0.0347,0.000401747,0.000401747,0.000401747
25,200.368,0.03054,0.97872,1,0.04276,0.000346736,0.000346736,0.000346736
26,208.105,0.0272,0.98582,1,0.033,0.000291725,0.000291725,0.000291725
27,215.433,0.0244,0.98582,1,0.03926,0.000236714,0.000236714,0.000236714
28,222.524,0.01652,0.98582,1,0.03883,0.000181703,0.000181703,0.000181703
29,230.079,0.01889,0.98582,1,0.05683,0.000126692,0.000126692,0.000126692
30,237.573,0.0132,0.97872,1,0.04084,7.1681e-05,7.1681e-05,7.1681e-05
