epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.122,2.1728,3.50481,1.77599,0.62969,0.08032,0.07245,0.01937,1.97312,3.30875,1.65085,0.000410714,0.000410714,0.000410714
2,247.736,1.75665,2.48022,1.59768,0.6436,0.16268,0.14021,0.06257,1.64412,3.80512,1.52169,0.000810999,0.000810999,0.000810999
3,356.568,1.62009,2.26659,1.52011,0.67221,0.21864,0.17772,0.09962,1.34773,2.31138,1.44946,0.00119478,0.00119478,0.00119478
4,464.134,1.56472,2.0846,1.49505,0.69026,0.22944,0.18209,0.10179,1.3907,1.97959,1.5019,0.00117575,0.00117575,0.00117575
5,575.376,1.52242,2.00323,1.45874,0.67682,0.22705,0.16925,0.09578,1.36683,2.08911,1.41286,0.001151,0.001151,0.001151
6,686.004,1.44762,1.89929,1.41438,0.6745,0.27724,0.1979,0.11438,1.31144,1.89329,1.43217,0.00112625,0.00112625,0.00112625
7,797.12,1.47293,1.83122,1.44065,0.44747,0.25526,0.20537,0.12547,1.25845,1.86428,1.47158,0.0011015,0.0011015,0.0011015
8,908.515,1.35946,1.83893,1.35991,0.72311,0.24001,0.21812,0.13257,1.31207,1.79344,1.41058,0.00107675,0.00107675,0.00107675
9,1019.94,1.3817,1.71012,1.3868,0.46293,0.27793,0.21506,0.13282,1.35182,1.69545,1.46335,0.001052,0.001052,0.001052
10,1130.56,1.38245,1.64557,1.3765,0.46708,0.23866,0.23076,0.12793,1.51348,1.59592,1.58001,0.00102725,0.00102725,0.00102725
11,1241.66,1.32738,1.6237,1.3444,0.48051,0.25971,0.23198,0.14992,1.24738,1.63078,1.39798,0.0010025,0.0010025,0.0010025
12,1351.02,1.31161,1.58863,1.33913,0.49886,0.24057,0.23323,0.15016,1.1909,1.53884,1.4036,0.00097775,0.00097775,0.00097775
13,1463.68,1.28827,1.54341,1.31797,0.73643,0.26083,0.25428,0.14977,1.40731,1.59208,1.51251,0.000953,0.000953,0.000953
14,1569.43,1.26968,1.49618,1.31269,0.74083,0.28589,0.26606,0.17273,1.17458,1.42517,1.32319,0.00092825,0.00092825,0.00092825
15,1677.82,1.23436,1.4299,1.28108,0.73871,0.27571,0.27422,0.18054,1.11157,1.42318,1.32385,0.0009035,0.0009035,0.0009035
16,1787,1.2253,1.43061,1.28479,0.75023,0.28637,0.27625,0.18213,1.1093,1.34857,1.32933,0.00087875,0.00087875,0.00087875
17,1896.06,1.2369,1.39173,1.28359,0.76437,0.2795,0.28186,0.1872,1.14713,1.33018,1.28426,0.000854,0.000854,0.000854
18,2003.69,1.21477,1.36283,1.25915,0.79757,0.28553,0.30199,0.20449,1.15276,1.29628,1.36537,0.00082925,0.00082925,0.00082925
19,2114.7,1.21717,1.37826,1.27621,0.79376,0.28145,0.2981,0.17354,1.50136,1.29888,1.60906,0.0008045,0.0008045,0.0008045
20,2225.78,1.23891,1.33423,1.28288,0.79224,0.27999,0.29834,0.19949,1.09147,1.24629,1.30662,0.00077975,0.00077975,0.00077975
21,2336.12,1.16843,1.28594,1.24017,0.76982,0.28831,0.31227,0.208,1.18372,1.29153,1.32598,0.000755,0.000755,0.000755
22,2447.1,1.13964,1.25354,1.22782,0.78284,0.30349,0.31269,0.21419,1.05114,1.21028,1.22964,0.00073025,0.00073025,0.00073025
23,2555.68,1.15515,1.25231,1.23237,0.76131,0.3368,0.33059,0.22772,1.05645,1.18125,1.23146,0.0007055,0.0007055,0.0007055
24,2666.66,1.10472,1.19997,1.2015,0.83937,0.28465,0.33945,0.22828,1.14671,1.16708,1.29833,0.00068075,0.00068075,0.00068075
25,2776,1.11867,1.19118,1.20962,0.56529,0.30828,0.32791,0.2256,1.08874,1.16763,1.2639,0.000656,0.000656,0.000656
26,2886.43,1.18594,1.23045,1.25641,0.7964,0.31701,0.35202,0.24639,1.00973,1.06767,1.24051,0.00063125,0.00063125,0.00063125
27,2998.45,1.0973,1.16544,1.19686,0.52472,0.40163,0.36478,0.25078,1.04303,1.0499,1.22948,0.0006065,0.0006065,0.0006065
28,3108.41,1.07134,1.16937,1.17986,0.82069,0.29545,0.33926,0.23675,1.07296,1.12913,1.29082,0.00058175,0.00058175,0.00058175
29,3220.07,1.08061,1.16226,1.20539,0.64304,0.37225,0.36236,0.25731,0.99481,1.06441,1.22239,0.000557,0.000557,0.000557
30,3331.07,1.03743,1.13909,1.15429,0.5843,0.3847,0.41215,0.28465,1.009,0.99519,1.21474,0.00053225,0.00053225,0.00053225
31,3474.26,1.07697,1.10055,1.17627,0.66883,0.4142,0.42402,0.29625,1.0598,0.98292,1.2316,0.0005075,0.0005075,0.0005075
32,3647.89,1.05624,1.07104,1.17721,0.58987,0.40428,0.38876,0.27841,0.97209,1.06052,1.19462,0.00048275,0.00048275,0.00048275
33,3840.07,1.02171,1.05928,1.15219,0.66408,0.42234,0.43434,0.31186,1.02636,0.98103,1.20164,0.000458,0.000458,0.000458
34,4019.05,1.02243,1.06681,1.14868,0.8073,0.38172,0.46933,0.32892,0.98543,0.96008,1.20701,0.00043325,0.00043325,0.00043325
35,4188.86,0.98293,1.00662,1.12715,0.59982,0.39153,0.40371,0.28911,0.96041,0.944,1.18465,0.0004085,0.0004085,0.0004085
36,4384.9,0.99153,0.99835,1.11958,0.78425,0.35176,0.41133,0.29572,0.9314,0.93217,1.17451,0.00038375,0.00038375,0.00038375
37,4558.79,0.97398,1.00682,1.12717,0.67945,0.43881,0.4814,0.34624,0.94232,0.89154,1.16688,0.000359,0.000359,0.000359
38,4745.3,0.97384,0.953,1.11943,0.7582,0.45017,0.48456,0.36448,0.89222,0.85389,1.13619,0.00033425,0.00033425,0.00033425
39,4918.21,0.95516,0.93795,1.12743,0.69203,0.44706,0.45893,0.32879,0.99302,0.88001,1.19428,0.0003095,0.0003095,0.0003095
40,5095.47,0.96009,0.94511,1.11037,0.67229,0.46101,0.5364,0.3845,0.89501,0.87156,1.1364,0.00028475,0.00028475,0.00028475
41,5270.92,0.87703,0.86114,1.07922,0.70098,0.43719,0.53874,0.38933,0.90476,0.89423,1.1365,0.00026,0.00026,0.00026
42,5442.46,0.88826,0.83957,1.09162,0.6188,0.4364,0.41341,0.30691,0.91489,0.91987,1.14915,0.00023525,0.00023525,0.00023525
43,5617.76,0.85388,0.80964,1.06755,0.77261,0.42551,0.47999,0.364,0.85924,0.83933,1.10743,0.0002105,0.0002105,0.0002105
44,5793.64,0.84772,0.8227,1.06509,0.65936,0.41752,0.44178,0.33811,0.85813,0.83829,1.10153,0.00018575,0.00018575,0.00018575
45,5968.93,0.80513,0.83182,1.03212,0.84344,0.39235,0.5189,0.40238,0.84066,0.82473,1.08448,0.000161,0.000161,0.000161
